CellLine	Doxo	Score
HCC1954	7.196	2
AU565	7.381	2
HCC1937	6.721	3
CAMA1	6.947	3
T47DKBLUC	7.013	2
UACC812	6.64	3
HCC1569	6.489	3
MCF12A	7.254	2
HCC1187	NA	NA
HCC38	8.234	2
SUM229PE	6.674	3
ZR751	7.11	2
BT483	NA	NA
T47D	7.269	2
ZR7530	9.833	1
BT549	NA	NA
MDAMB231	7.38	2
MDAMB453	6.848	3
MCF10F	6.435	3
MDAMB157	7.242	2
HCC1428	6.263	3
MDAMB134VI	6.398	3
BT20	6.48	3
HCC1419	NA	NA
MDAMB361	NA	NA
HCC202	6.539	3
MDAMB415	6.747	3
MCF7	6.609	3
MDAMB175VII	6.975	2
HCC1395	6.666	3
HCC1143	6.955	3
HCC70	7.267	2
BT474	6.799	3
HCC1806	7.285	2
HS578T	6.914	3
184A1	NA	NA
184B5	NA	NA
21MT1	6.614393726	3
21NT	6.741123371	3
600MPE	6.663540266	3
HCC2185	NA	NA
HCC3153	6.954677021	3
LY2	6.462180905	3
MCF10A	7.007446482	2
MX1	6.806597097	3
SKBR3	7.084600165	2
SUM1315MO2	7.563837353	2
SUM149PT	6.716698771	3
SUM159PT	NA	NA
SUM185PE	NA	NA
SUM225CWN	NA	NA
SUM52PE	6.598599459	3
ZR75B	7.403402904	2
